STATE,LGA,COMMUNITY,DATE_OF_OCCURRENCE,PERSONS_AFFECTED,DISPLACED_PERSONS,DATE,YEAR,MONTH,SEASON,SEVERITY_RATIO
Oyo,Ori Ire,/koyi-fle,2022-01-04 00:00:00,170,30,2022-01-04,2022.0,1.0,Dry,0.17647058823529413
Oyo,Saki East,Ago-Amodu,2022-07-04 00:00:00,170,5,2022-07-04,2022.0,7.0,Rainy,0.029411764705882353
Oyo,Saki East,Septeri,2022-07-04 00:00:00,240,70,2022-07-04,2022.0,7.0,Rainy,0.2916666666666667
Oyo,Itesiwaju,Otu,2022-01-05 00:00:00,180,70,2022-01-05,2022.0,1.0,Dry,0.3888888888888889
Oyo,Atigbo,Tede,18/05/2022,150,6,2022-05-18,2022.0,5.0,Rainy,0.04
Oyo,Atigbo,Ago-Are,2022-01-06 00:00:00,100,100,2022-01-06,2022.0,1.0,Dry,1.0
Oyo,Kajola,lganna,2022-01-06 00:00:00,60,2,2022-01-06,2022.0,1.0,Dry,0.03333333333333333
Oyo,Surulere,lresa-Adu,2022-01-06 00:00:00,135,78,2022-01-06,2022.0,1.0,Dry,0.5777777777777777
Oyo,Kajola,"lsemi,Oke--Ogun",2022-01-06 00:00:00,100,25,2022-01-06,2022.0,1.0,Dry,0.25
Oyo,Kajola,lwere-Oke/llaji-Oke,2022-01-06 00:00:00,120,50,2022-01-06,2022.0,1.0,Dry,0.4166666666666667
Oyo,Afijio,Jobele,2022-01-06 00:00:00,126,40,2022-01-06,2022.0,1.0,Dry,0.31746031746031744
Oyo,Kajola,Ogbenje/O/e/e,2022-01-06 00:00:00,96,12,2022-01-06,2022.0,1.0,Dry,0.125
Oyo,Iseyin,Oke--Eyin,2022-01-06 00:00:00,150,0,2022-01-06,2022.0,1.0,Dry,0.0
Oyo,Kajola,Okeho,2022-01-06 00:00:00,1130,14,2022-01-06,2022.0,1.0,Dry,0.012389380530973451
Oyo,Saki West,Oke-OdeAgoluabi,2022-01-06 00:00:00,118,40,2022-01-06,2022.0,1.0,Dry,0.3389830508474576
Oyo,Atiba,Oyo,2022-01-06 00:00:00,135,0,2022-01-06,2022.0,1.0,Dry,0.0
Oyo,Iwajowa,/wera-lle,2022-01-07 00:00:00,73,5,2022-01-07,2022.0,1.0,Dry,0.0684931506849315
Oyo,Ibarapa Central,lgboora,2022-06-07 00:00:00,150,30,2022-06-07,2022.0,6.0,Rainy,0.2
Oyo,Akinyele,Moniya,2022-10-07 00:00:00,250,25,2022-10-07,2022.0,10.0,Rainy,0.1
Plateau,Wase,Kadarko,2022-01-01 00:00:00,632,402,2022-01-01,2022.0,1.0,Dry,0.6360759493670886
Plateau,Langtang South,Timshat,14/03/2022,562,253,2022-03-14,2022.0,3.0,Rainy,0.4501779359430605
Plateau,Langtang South,Fajul,2022-03-05 00:00:00,301,198,2022-03-05,2022.0,3.0,Rainy,0.6578073089700996
Plateau,Langtang North,Gasham,2022-05-05 00:00:00,260,98,2022-05-05,2022.0,5.0,Rainy,0.3769230769230769
Plateau,Langtang North,Dingjor,27/05/2022,256,136,2022-05-27,2022.0,5.0,Rainy,0.53125
Plateau,Langtang North,Zango,28/05/2022,271,121,2022-05-28,2022.0,5.0,Rainy,0.44649446494464945
Plateau,Langtang North,Yashi,29/05/2022,286,150,2022-05-29,2022.0,5.0,Rainy,0.5244755244755245
Plateau,Mikang,Baltip,2022-01-06 00:00:00,534,29,2022-01-06,2022.0,1.0,Dry,0.054307116104868915
Plateau,Langtang South,Dadin Kowa,2022-01-06 00:00:00,672,311,2022-01-06,2022.0,1.0,Dry,0.46279761904761907
Plateau,Mikang,Garkawa,2022-01-06 00:00:00,473,27,2022-01-06,2022.0,1.0,Dry,0.05708245243128964
Plateau,Langtang South,Zamban,2022-01-06 00:00:00,356,215,2022-01-06,2022.0,1.0,Dry,0.6039325842696629
Plateau,Langtang South,Lamdual,2022-06-06 00:00:00,326,114,2022-06-06,2022.0,6.0,Rainy,0.3496932515337423
Plateau,Langtang South,Magama,2022-07-06 00:00:00,572,282,2022-07-06,2022.0,7.0,Rainy,0.493006993006993
Plateau,Shendam,Shimankar,23/06/2022,1871,1109,2022-06-23,2022.0,6.0,Rainy,0.5927311598075895
Plateau,Wase,Ayal,2022-01-07 00:00:00,411,478,2022-01-07,2022.0,1.0,Dry,1.1630170316301702
Plateau,Wase,Chaplwai,2022-01-07 00:00:00,414,221,2022-01-07,2022.0,1.0,Dry,0.533816425120773
Plateau,Mikang,Lalin,2022-01-07 00:00:00,552,36,2022-01-07,2022.0,1.0,Dry,0.06521739130434782
Plateau,Langtang South,Lasher,2022-01-07 00:00:00,416,210,2022-01-07,2022.0,1.0,Dry,0.5048076923076923
Plateau,Mikang,Piapung,2022-01-07 00:00:00,566,33,2022-01-07,2022.0,1.0,Dry,0.05830388692579505
Plateau,Langtang South,Pilgani,2022-01-07 00:00:00,506,312,2022-01-07,2022.0,1.0,Dry,0.616600790513834
Plateau,Langtang South,SabonGida,2022-01-07 00:00:00,561,252,2022-01-07,2022.0,1.0,Dry,0.44919786096256686
Plateau,Shendam,Kalong,17/07/2022,1756,897,2022-07-17,2022.0,7.0,Rainy,0.5108200455580866
Plateau,Wase,Duwi,23/07/2022,492,135,2022-07-23,2022.0,7.0,Rainy,0.27439024390243905
Plateau,Wase,G/Balak,23/07/2022,476,152,2022-07-23,2022.0,7.0,Rainy,0.31932773109243695
Plateau,Wase,G/Kogi,23/07/2022,413,223,2022-07-23,2022.0,7.0,Rainy,0.5399515738498789
Plateau,Jos North,Gangare,23/07/2022,95,95,2022-07-23,2022.0,7.0,Rainy,1.0
Plateau,Kanke,Gugur,23/07/2022,2010,0,2022-07-23,2022.0,7.0,Rainy,0.0
Plateau,Jos North,Rikkos,23/07/2022,150,150,2022-07-23,2022.0,7.0,Rainy,1.0
